sku,asin,parent_asin,relationship_type,variation_theme,update_delete
MCA0032-W-12,B07X8Z63ZL,B0F5BDG84W,variation,SIZE_NAME,Update
MCA0032-M-13,B07TBFZL3N,B0F5BDG84W,variation,SIZE_NAME,Update
MCA0032-M-9.5,B07T89PYFX,B0F5BDG84W,variation,SIZE_NAME,Update
MCA0032-M-11.5,B07T89PSKR,B0F5BDG84W,variation,SIZE_NAME,Update
MCA0032-W-11,B07XB3N4CR,B0F5BDG84W,variation,SIZE_NAME,Update
MCA0032-M-14,B07TDLZWKL,B0F5BDG84W,variation,SIZE_NAME,Update
MCA0032-W-14,B07XC3MXP3,B0F5BDG84W,variation,SIZE_NAME,Update
MCA0032-M-07.5,B07TDLZMNM,B0F5BDG84W,variation,SIZE_NAME,Update
MCA0032-W-13,B07XC3MJ9Y,B0F5BDG84W,variation,SIZE_NAME,Update
MCA0032-W-9,B07XD6H4NX,B0F5BDG84W,variation,SIZE_NAME,Update
MCA0032-M-07,B07TFKKMF3,B0F5BDG84W,variation,SIZE_NAME,Update
MCA0032-W-10,B07XG2JH56,B0F5BDG84W,variation,SIZE_NAME,Update
MCA0032-W-08.5,B07XF729K1,B0F5BDG84W,variation,SIZE_NAME,Update
MCA0032-W-08,B07XC3L53T,B0F5BDG84W,variation,SIZE_NAME,Update
MCA0032-W-07.5,B07XD6JSQG,B0F5BDG84W,variation,SIZE_NAME,Update
MCA0032-W-07,B07X8Z652J,B0F5BDG84W,variation,SIZE_NAME,Update
